;Код;Направление подготовки (специальности);Вступительные испытания, мин. кол. баллов;Профильные вступительные испытания для поступающих на базе среднего профессиональ-ного или высшего образования, мин. кол. баллов;Форма обучения;Всего;Общий конкурс;Особая квота;Целевая квота;Специальная квота;По договорам об оказании платных образовательных услуг;Стоимость обучения
10;44.03.05;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Немецкий язык и Английский язык)""";Вступительные испытания, мин. кол. баллов: иностранный язык: 45 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;30;10;2;6;2;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
11;44.03.05;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Английский язык и Французский язык)""";Вступительные испытания, мин. кол. баллов: иностранный язык: 45 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;30;10;2;6;2;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
12;44.03.05;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Английский язык и Немецкий язык)""";Вступительные испытания, мин. кол. баллов: иностранный язык: 45 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;30;10;2;6;2;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
13;45.03.02;"Лингвистика. Профиль ""Перевод и переводоведение""";Вступительные испытания, мин. кол. баллов: иностранный язык: 45 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;25;0;0;0;0;25;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
14;39.03.01;"Социология. Профиль ""Социология""";Вступительные испытания, мин. кол. баллов: обществознание: 45 математика (по выбору): 39 история (по выбору): 35 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;18;9;2;1;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
15;39.03.02;"Социальная работа. Профиль ""Социальное обслуживание населения""";Вступительные испытания, мин. кол. баллов: история: 35 обществознание (по выбору): 45 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;19;9;2;1;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
16;41.03.05;"Международные отношения. Профиль ""Международные отношения""";Вступительные испытания, мин. кол. баллов: история: 35 обществознание (по выбору): 45 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;22;8;2;5;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
17;44.03.05;"Педагогическое образование(с двумя профилями). Профиль ""Образование в предметных областях (История и обществознание)""";Вступительные испытания, мин. кол. баллов: история (по выбору): 35 иностранный язык (по выбору): 30 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;25;10;2;6;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
18;46.03.01;"История.Профиль ""Историко-культурный туризм""";Вступительные испытания, мин. кол. баллов: история: 35 обществознание (по выбору): 45 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;24;11;2;4;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
19;46.03.01;"История.Профиль ""История стран Северной Европы""";Вступительные испытания, мин. кол. баллов: история: 35 обществознание (по выбору): 45 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;24;11;2;4;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
20;05.03.01;"Геология. Профиль ""Геология""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 география (по выбору): 40 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 основы экономической географии (по выбору): 40 русский язык: 40;очная;18;9;2;1;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
