;Код;Направление подготовки (специальности);Вступительные испытания, мин. кол. баллов;Профильные вступительные испытания для поступающих на базе среднего профессиональ-ного или высшего образования, мин. кол. баллов;Форма обучения;Всего;Общий конкурс;Особая квота;Целевая квота;Специальная квота;По договорам об оказании платных образовательных услуг;Стоимость обучения
49;49.03.02;"Физическая культура для лиц с отклонениями в состоянии здоровья. Профиль ""Физическая культура, адаптивная физическая культура и адаптивный спорт""";Вступительные испытания, мин. кол. баллов: общая физическая подготовка : 40 биология: 39 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: общая физическая подготовка : 40 общая биология: 39 русский язык: 40;очная;26;14;3;2;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
50;42.03.02;"Журналистика. Профиль ""Средства массовой информации""";Вступительные испытания, мин. кол. баллов: творческое испытание: 40 литература: 40 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;19;9;2;1;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
51;44.03.05;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Русский язык и Литература)""";Вступительные испытания, мин. кол. баллов: литература (по выбору): 40 иностранный язык (по выбору): 30 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;25;10;2;6;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
52;45.03.01;"Филология. Профиль ""Прикладная филология (Русский язык и литература)""";Вступительные испытания, мин. кол. баллов: русский язык: 40 литература: 40 обществознание (по выбору): 45 иностранный язык (по выбору): 30;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;13;5;1;1;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
53;45.03.01;"Филология. Профиль ""Классическая филология""";Вступительные испытания, мин. кол. баллов: русский язык: 40 литература: 40 обществознание (по выбору): 45 иностранный язык (по выбору): 30;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;13;5;1;1;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
54;45.03.01;"Филология. Профиль ""Английский язык и литература, немецкий язык""";Вступительные испытания, мин. кол. баллов: иностранный язык: 30 литература: 40 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;13;5;1;1;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
55;45.03.01;"Филология. Профиль ""Шведский язык и литература, английский язык""";Вступительные испытания, мин. кол. баллов: иностранный язык: 30 литература: 40 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;13;5;1;1;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
56;45.03.01;"Филология. Профиль ""Финский язык и литература""";Вступительные испытания, мин. кол. баллов: русский язык: 40 литература: 40 обществознание (по выбору): 45 иностранный язык (по выбору): 30;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;13;5;1;1;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
57;45.03.01;"Филология. Профиль ""Финский язык и литература, карельский язык (ливвиковское наречие)""";Вступительные испытания, мин. кол. баллов: русский язык: 40 литература: 40 обществознание (по выбору): 45 иностранный язык (по выбору): 30;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;11;3;1;1;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
58;45.03.01;"Филология. Профиль ""Финский язык и литература, вепсский язык""";Вступительные испытания, мин. кол. баллов: русский язык: 40 литература: 40 обществознание (по выбору): 45 иностранный язык (по выбору): 30;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;8;0;1;1;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
59;45.03.02;"Лингвистика. Профиль ""Русский язык как иностранный, китайский язык""";Вступительные испытания, мин. кол. баллов: русский язык: 40 иностранный язык: 30 обществознание (по выбору): 45 литература (по выбору): 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;15;0;0;0;0;15;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
60;38.03.01;"Экономика. Профиль ""Финансы, кредит и бухгалтерский учет""";Вступительные испытания, мин. кол. баллов: математика : 39 обществознание (по выбору): 45 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;33;11;2;3;2;15;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
61;38.03.02;"Менеджмент. Профиль ""Финансовый менеджмент""";Вступительные испытания, мин. кол. баллов: математика : 39 обществознание (по выбору): 45 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;33;13;2;1;2;15;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
62;40.03.01;"Юриспруденция. Профиль ""Юриспруденция""";Вступительные испытания, мин. кол. баллов: обществознание: 45 история (по выбору): 35 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;32;7;2;2;1;20;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
63;31.05.01;"Лечебное дело. Профиль ""Лечебное дело""";Вступительные испытания, мин. кол. баллов: химия: 45 биология: 50 русский язык: 50;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: общая химия: 45 общая биология: 50 русский язык: 50;очная;184;7;14;100;13;50;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
64;31.05.02;"Педиатрия. Профиль ""Педиатрия""";Вступительные испытания, мин. кол. баллов: химия: 45 биология: 50 русский язык: 50;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: общая химия: 45 общая биология: 50 русский язык: 50;очная;67;2;6;43;6;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
65;33.05.01;"Фармация. Профиль ""Фармация""";Вступительные испытания, мин. кол. баллов: химия: 45 биология: 50 русский язык: 50;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: общая химия: 45 общая биология: 50 русский язык: 50;очная;25;10;2;2;1;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
66;03.03.02;"Физика. Профиль ""Медицинская физика""";Вступительные испытания, мин. кол. баллов: физика: 39 математика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: техническая механика: 39 математика в профессиональной деятельности (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;30;18;3;1;3;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
67;09.03.01;"Информатика и вычислительная техника. Профиль ""Системы обработки информации и управления""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;34;19;3;4;3;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
68;09.03.01;"Информатика и вычислительная техника. Профиль ""Проектирование информационных систем в экономике""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;33;18;3;4;3;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
69;11.03.04;"Электроника и наноэлектроника. Профиль ""Структура и свойства материалов электроники и наноэлектроники""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;35;21;3;3;3;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
70;12.03.01;"Приборостроение. Профиль ""Информационно-измерительные приборы";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;20;8;2;3;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
71;13.03.01;"Теплоэнергетика и теплотехника. Профиль ""Промышленная теплоэнергетика""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;22;10;2;3;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
72;13.03.02;"Электроэнергетика и электротехника. Профиль ""Электроснабжение"", Профиль ""Релейная защита и автоматика""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;очная;46;21;4;7;4;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
73;44.03.05;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Физика и Информатика)""";Вступительные испытания, мин. кол. баллов: математика (по выбору): 39 физика (по выбору): 39 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: Только по результатам ЕГЭ;очная;15;5;1;3;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
74;21.03.02;"Землеустройство и кадастры. Профиль ""Землеустройство""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;заочная;10;0;0;0;0;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
75;35.03.08;"Водные ресурсы и аквакультура. Профиль ""Аквакультура""";Вступительные испытания, мин. кол. баллов: биология: 39 химия (по выбору): 39 математика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: общая биология: 39 общая химия (по выбору): 39 математика в профессиональной деятельности (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;заочная;10;0;0;0;0;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
76;15.03.02;"Технологические машины и оборудование. Профиль ""Инжиниринг и маркетинг технологических машин и оборудования""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 иностранный язык в профессиональной деятельности (по выбору): 30 русский язык: 40;заочная;25;0;0;0;0;25;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
77;21.05.04;"Горное дело. Профиль ""Открытые горные работы""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 иностранный язык в профессиональной деятельности (по выбору): 30 русский язык: 40;заочная;25;0;0;0;0;25;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
78;23.03.03;"Эксплуатация транспортно-технологических машин и комплексов. Профиль ""Эксплуатация транспортно-технологических машин и комплексов""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 иностранный язык (по выбору): 30 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 иностранный язык в профессиональной деятельности (по выбору): 30 русский язык: 40;заочная;25;0;0;0;0;25;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
79;09.03.02;"Информационные системы и технологии. Профиль ""Разработка информационных систем""";Вступительные испытания, мин. кол. баллов: информатика и ИКТ: 44 математика : 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: основы программирования: 44 математика в профессиональной деятельности: 45 русский язык: 40;заочная;25;0;0;0;0;25;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
80;44.03.01;"Педагогическое образование. Профиль ""Начальное образование""";Вступительные испытания, мин. кол. баллов: русский язык: 40 обществознание: 45 математика (по выбору): 39 иностранный язык (по выбору): 30;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: русский язык: 40 психология: 45 педагогика : 39;заочная;22;4;2;4;2;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
81;44.03.02;"Психолого-педагогическое образование. Профиль ""Психология образования""";Вступительные испытания, мин. кол. баллов: биология: 39 математика (по выбору): 39 обществознание (по выбору): 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: психология: 39 педагогика (по выбору): 39 теория государства и права (по выбору): 45 русский язык: 40;заочная;20;6;2;5;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
82;44.03.02;"Психолого-педагогическое образование. Профиль ""Психология и социальная педагогика""";Вступительные испытания, мин. кол. баллов: биология: 39 математика (по выбору): 39 обществознание (по выбору): 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: психология: 39 педагогика (по выбору): 39 теория государства и права (по выбору): 45 русский язык: 40;заочная;15;6;1;2;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
83;44.03.02;"Психолого-педагогическое образование. Профиль ""Дошкольное образование""";Вступительные испытания, мин. кол. баллов: биология: 39 математика (по выбору): 39 обществознание (по выбору): 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: психология: 39 педагогика (по выбору): 39 теория государства и права (по выбору): 45 русский язык: 40;заочная;15;5;1;3;1;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
84;44.03.03;"Специальное (дефектологическое) образование. Профиль ""Дошкольная дефектология""";Вступительные испытания, мин. кол. баллов: биология: 39 математика (по выбору): 39 обществознание (по выбору): 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: психология: 39 педагогика (по выбору): 39 теория государства и права (по выбору): 45 русский язык: 40;заочная;20;5;1;3;1;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
85;20.03.01;"Техносферная безопасность. Профиль ""Безопасность труда""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;заочная;20;0;0;0;0;20;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
86;43.03.02;"Туризм. Профиль ""Проектирование и технология организации туристских и экскурсионных услуг""";Вступительные испытания, мин. кол. баллов: обществознание (по выбору): 45 иностранный язык (по выбору): 30 история: 35 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: теория государства и права (по выбору): 44 иностранный язык в профессиональной деятельности (по выбору): 30 история России : 35 русский язык: 40;заочная;20;9;2;2;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
87;43.03.03;"Гостиничное дело. Профиль ""Ресторанный сервис""";Вступительные испытания, мин. кол. баллов: обществознание (по выбору): 35 иностранный язык (по выбору): 30 история: 35 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: теория государства и права (по выбору): 35 иностранный язык в профессиональной деятельности (по выбору): 30 история России : 35 русский язык: 40;заочная;20;10;2;1;2;5;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
88;44.03.05;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Безопасность жизнедеятельности и Физическая культура)""";Вступительные испытания, мин. кол. баллов: общая физическая подготовка : 40 обществознание: 45 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: общая физическая подготовка : 40 теория государства и права: 44 русский язык: 40;заочная;28;9;2;5;2;10;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
89;09.03.01;"Информатика и вычислительная техника. Профиль ""Системы обработки информации и управления""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;заочная;20;0;0;0;0;20;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
90;13.03.01;"Теплоэнергетика и теплотехника. Профиль ""Промышленная теплоэнергетика""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;заочная;20;0;0;0;0;20;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
91;13.03.02;"Электроэнергетика и электротехника. Профиль ""Электроснабжение""";Вступительные испытания, мин. кол. баллов: математика : 39 физика (по выбору): 39 информатика и ИКТ (по выбору): 44 русский язык: 40;Профильные вступительные испытания для поступающих на базе среднего профессионального или высшего образования, мин. кол. баллов: математика в профессиональной деятельности: 39 техническая механика (по выбору): 39 информационные технологии в профессиональной деятельности (по выбору): 44 русский язык: 40;заочная;20;0;0;0;0;20;https://petrsu.ru/page/education/bakalavriat_i_spec/priemnaya-kampaniya/stoimost-obutcheniya-na-platnoi-osn
